address,vested,award,unlockSchedule,lumpSumMonth
0x0000024c83970aea9451A6170E4048d5786745Ad,211500000000000000000,211500000000000000000,1,0
0x0000044757587287d5EF86E5020F32913058c6C4,39158489815911000000000,39158489815911000000000,1,0
0x0000055114f34A0Baa741dd2A77a89638B83a821,1000000000000000000000000,1454545454545450000000000,3,
0x0000063137090D6023218eF0567eD8089068685E,500000000000000000000000,500000000000000000000000,1,0
0x000009b2B812EfcDFAB13679ADE9701E9C740546,500000000000000000000,500000000000000000000,2,
0x00000a0AF54c801552a72Ad8f04b5F99680Bce96,60676250000000000000,60676250000000000000,1,0
0x00000E807BcE9B9B46b6563b64b439259A703084,41488802626785400000,41488802626785400000,1,0
0x00000eF989b8BCf53E3Bc9508B79e7e0A4F05DdC,44450379622765300000000,44450379622765300000000,1,0
0x000018E42bDd2f84E19C92848214Ce6b06a9CbD1,477113212372674000000,477113212372674000000,1,0
0x00001903A900B39A792B6067a11D1e350F66A99a,4791891362432350000000,4791891362432350000000,1,0
0x000019479236E49cBdE69a293A786Bb62B57bDEF,64501960889301300000,64501960889301300000,1,0
0x00001951BC2e33b20d74E14431c12E266c83A79c,1327500000000000000000,1327500000000000000000,1,0
0x00001b8f4d9a50693a6973863A8f23bccC00Cfd2,60000000000000000000,60000000000000000000,1,0
0x00001E38DE738a1242bC58616dd7E172E044465a,26400000000000000000000,26400000000000000000000,2,
0x00001e9DdC9759D9734f85Fe17311b35a27cc9d2,5000000000000000000000000,5000000000000000000000000,2,
0x000020a1159bbBFfA4D6b43F7E55bFFEE42041B0,74000000000000000000,74000000000000000000,1,0
0x0000259271104b4ebeFf8F6058A91A91536ED13d,218864368837273000000,218864368837273000000,1,0
0x0000262a35CeD8d05F61cD2158406a6E3AB6B607,123436827521361000000,123436827521361000000,1,0
0x00002Be4E3de9FF0EAD329B6a784151AB16c5c96,1786500000000000000000,1786500000000000000000,1,0
0x00002bEae967fCD44e76a1270481875082f2759D,500000000000000000000000,500000000000000000000000,1,36
0x00002d29D5999977118A954aE2dA881B33b34a0b,500000000000000000000000,500000000000000000000000,1,8
0x000030fe6c60A67DEe9073db7072D154b0014b02,500000000000000000000000,500000000000000000000000,1,52
0x000033055740557eAeb08be2656eE60B285f2126,282490811435665000000,282490811435665000000,1,0
0x000035bDE030FE0fCD013D920e2eEC6ECC77757C,500000000000000000000000,500000000000000000000000,2,
0x00003a5cF2BEe06F96B7dcAaCEE87fDCa4367469,475500000000000000000,475500000000000000000,1,0
0x00003b542047C8f025613c9e5d23557B89555e30,500000000000000000000,500000000000000000000,2,
0x00003bA80Bc9bF2BACFC56D66CB23472dFded06E,3775400000000000000000,3775400000000000000000,1,0
0x00003c37cde7c432868a13fBB1cBa91027ae597D,1791000000000000000000,1791000000000000000000,1,0
0x00003ef403F91bf6C1b7D8AAde433500733140B4,1154000000000000000000,1154000000000000000000,1,0
0x00004294fc1CC0bc419f9AC80CC64093480E25C7,110157382472968000000,110157382472968000000,1,0
0x00004409dB1Eb5c141F8c9603d49b8a5108AE180,1477500000000000000000,1477500000000000000000,1,0
0x00004621bC5eD9cA11637b525D1CDBa7bf99074D,397244653346671000000,397244653346671000000,1,0
0x000046B0532d87354138EA44b5d94Eaa78060AA5,1000000000000000000000,1000000000000000000000,1,0
0x000048100ade5C2cc29BfE90F887b5093687A742,498000000000000000000,498000000000000000000,1,0
0x00004F7Dc399Ccb99B3d0745A2460FF447B6fd92,206000000000000000000,206000000000000000000,1,0
0x0000504bAfa971Fa560887542c39e3e0fbA099E0,500000000000000000000000,500000000000000000000000,1,42
0x0000507C731565544DCE9127739b33225853fBe3,279230083577920000000,279230083577920000000,1,0
0x000055BACAc0fadAf9d9d04668264788efb8FF82,198000000000000000000,198000000000000000000,1,0
0x000059ce4dbA34EC39D04eC1B141673C779BCbaB,111800000000000000000000,111800000000000000000000,2,
0x00005B1ed537A75499d58D1F3B6C32be69549f14,500000000000000000000,500000000000000000000,2,
0x00005b5FadFaEA3Ed8257fBF4eAf2c38aB882d8e,500000000000000000000000,500000000000000000000000,1,45
0x00005B67Bf0426197C94f4EBc01068d5cd85aA75,500000000000000000000000,500000000000000000000000,1,0
0x00005Ee35484aE125174abF69B876631fb0bb2f1,1333500000000000000000,1333500000000000000000,1,0
0x000060482E36f28596050942aafc1AB670e50028,184500000000000000000,184500000000000000000,1,0
0x000063034b4Cc1e876aB7336160D3860819F0B83,105100000000000000000,105100000000000000000,1,0
0x00006309e5e2b2AF8832c2123D2c99fD30D3C961,500000000000000000000000,500000000000000000000000,1,41
0x00006680E70ba5B22DF6915D12Ea48FB8202A979,500000000000000000000000,500000000000000000000000,1,59
0x00006876a086d2DaEc93CE29df4E02e6962Ef5b4,500000000000000000000000,500000000000000000000000,1,23
0x00006A40C2ba09E038329D389BAdC1716f86ed5a,2084000000000000000000,2084000000000000000000,1,0
0x00006b4476f00B5058e7b7075e7CA0cd80F26c4b,500000000000000000000000,500000000000000000000000,1,56
0x00006b8C6B8C41d08b2980704EAd58c285915722,6000000000000000000000,6000000000000000000000,1,0
0x00006d47cb411B5EC780f63F1F62c3a56CBE336A,118400000000000000000,118400000000000000000,1,0
0x00006da888B3656D2B5f6014f90f06B807CBaD53,714000000000000000000,714000000000000000000,1,0
0x0000777c7471868b8a230010bDb9D6207cEa2318,17357675391370800000000,17357675391370800000000,1,0
0x00007DfDaDf7031E6BE52D47ec7a5d99F8A13566,283755583513959000000,283755583513959000000,1,0
0x00007f840c46d852450C45fDc427B852E73a5b99,500000000000000000000000,500000000000000000000000,1,33
0x00008083460960209B2b144cf29C696Edc4E37f6,496500000000000000000,496500000000000000000,1,0
0x000081166868eE5B0fc7031e14B02A2Edd73afCf,500000000000000000000000,500000000000000000000000,1,62
0x000082Dc68FD5F8BC51f8d39dE3bE512eDED07B9,298321862844460000000,298321862844460000000,1,0
0x000084FF28cb96A26c703DBc749733393Cfaa658,39183136132254000000,39183136132254000000,1,0
0x00008619B13EeB2Af039d579D8B72F0c23104259,500000000000000000000000,500000000000000000000000,1,40
0x000087aCA14819ed146c9077f1918F8CdeA94E65,192167999533738000000,192167999533738000000,1,0
0x000087Fc7Af369bDfEd10103009175b287A0754c,466832783448729000000,466832783448729000000,1,0
0x00008a30aFA1b92592e3ec7cF8aEDbF65ba0b326,347819310550750000000000,347819310550750000000000,1,0
0x00008b67EBFd0EdD7f42c5AC6dd26595c727b5b9,107600000000000000000,107600000000000000000,1,0
0x00008C4E39C964Adc43683DAFfcd1d5313F0d2F4,22767000000000000000000,22767000000000000000000,1,0
0x000090Fb9266B806829a5616b02bb5cA7046FDB4,737266910406031000000,737266910406031000000,1,0
0x0000912bA53864dFeE058bd66db4E882bbbcCbe0,5089270336670960000000,5089270336670960000000,1,0
0x00009378c21752E6c88278eCbb5391cdE98Dbe7D,11482393545755300000000,11482393545755300000000,1,0
0x000094C2B8E26aD3901aF09960c9b42BC7E2E338,500000000000000000000000,500000000000000000000000,1,27
0x00009535E34363D01812F5ce37d09EEbc84Ea985,44000000000000000000,44000000000000000000,1,0
0x0000956be84b34931775b9148f9B2A59E3Fb4763,131000000000000000000,131000000000000000000,1,0
0x000096Bd5B5A97Ff5a917Bec7f377518552a6baC,500000000000000000000000,500000000000000000000000,1,46
0x0000971943578E7FdB0BF9cB513Cb3A2B2A274F9,486915917620065000000,486915917620065000000,1,0
0x00009872160490bd482bE770548c3F52662d1ea3,2731245635109180000000,2731245635109180000000,1,0
0x0000998F4e829D99AD09E017a8B6E29131A0e3Fa,310200000000000000000,310200000000000000000,1,0
